zc..,alpha_c..,beita_c..,zb1..,alpha_b1..,zb2..,alpha_b2..,F1,F2,F3,F4,zc,zc.,zb1,zb1.,zb2,zb2.
-1.320398569,0.176307902,0.057774544,0.585748255,0.464921683,0.457095087,-0.608619928,-5852.159668,-7170.498535,-7149.637695,-5001.480469,4.995542049,-0.041654363,1.982043982,-0.146108851,1.995997667,-0.037949923
-1.243316889,0.136721984,0.021461058,0.867206216,0.307059586,0.318425566,-0.548826456,-5173.864258,-6422.453613,-6879.355957,-4987.811035,4.995060921,-0.054492999,1.980617166,-0.138831958,1.995638371,-0.034132957
-1.139011502,0.088513024,-0.022060746,1.143788338,0.139572442,0.303266287,-0.477624863,-4314.187988,-5524.878418,-6427.016113,-4800.87793,4.994455338,-0.066426672,1.979277015,-0.12877816,1.995312095,-0.03113565
-1.004446745,0.033158708,-0.065662399,1.417223215,-0.031663883,0.406260908,-0.398595244,-3284.734619,-4497.537598,-5757.259766,-4390.187988,4.993736744,-0.077168055,1.978051186,-0.115964979,1.995017409,-0.027649865
-0.838747203,-0.027650986,-0.105024055,1.669802904,-0.20077084,0.54317224,-0.315320432,-2107.736328,-3368.984375,-4903.726074,-3775.081787,4.992917538,-0.086407222,1.976966858,-0.100506395,1.994763613,-0.022894954
-0.645050764,-0.092060171,-0.139198825,1.885922432,-0.36187166,0.643041551,-0.231385186,-810.1624146,-2170.434814,-3926.173584,-3002.310791,4.992014885,-0.093845673,1.976049185,-0.082696684,1.994563818,-0.016920878
-0.417995274,-0.197040692,-0.173929125,2.756847858,-0.206602708,0.970802426,-0.348007649,1272.942749,-633.2271118,-2792.378662,-1783.088013,4.991047859,-0.099206485,1.975324273,-0.060864642,1.994429588,-0.009386537
-0.133004025,-0.260594159,-0.221624538,3.196310043,-0.462038934,1.074564219,-0.182778433,3328.91748,1092.753906,-1519.265381,-513.5233765,4.990039349,-0.101986781,1.974866271,-0.030063132,1.994388342,0.001294887
0.15244399,-0.31521374,-0.257448882,2.61093998,-0.434940487,0.758012116,-0.195184082,4674.255371,2219.449463,-421.0933228,546.1029053,4.989017963,-0.101868659,1.974717855,-0.000550064,1.994450331,0.010621233
0.399099886,-0.360511631,-0.26726687,1.814979672,-0.400189489,0.424701989,-0.206801176,5580.024902,2926.377686,579.1977539,1531.685303,4.98801136,-0.09907677,1.974828482,0.021461332,1.994588137,0.016419835
0.606846988,-0.395528108,-0.254540056,1.349684715,-0.35443452,0.300162613,-0.219829217,6375.145508,3549.769775,1598.84021,2558.032715,4.987044334,-0.094023272,1.975124121,0.03695263,1.994770527,0.019869292
0.792592704,-0.419644654,-0.23054935,1.256648064,-0.299770564,0.344125777,-0.233189195,7213.509766,4249.077148,2648.34375,3632.996094,4.986137867,-0.087015279,1.975558519,0.049774993,1.994984627,0.023018818
0.967315316,-0.432594836,-0.204717889,1.296763659,-0.238291845,0.403154999,-0.245813861,8047.23584,4980.924316,3651.229736,4676.843262,4.985310078,-0.078208104,1.976119757,0.062542811,1.995233178,0.026796795
1.128753424,-0.434436321,-0.180665359,1.251305223,-0.172097802,0.378544718,-0.256641537,8750.570313,5622.930664,4524.008789,5602.436523,4.984579563,-0.067714259,1.97680974,0.075394861,1.995521307,0.030779788
1.265146732,-0.427238375,-0.157591566,0.819947004,1.015879273,0.023573143,-1.565027237,9033.500977,5982.569336,5120.936035,6149.643555,4.983961105,-0.055714983,1.977623105,0.086766921,1.995846152,0.033792596
1.322157383,-0.409056723,-0.134521678,-0.05097536,-0.054644503,-0.725659132,-0.244789317,8692.488281,5659.092285,5028.329102,6132.882324,4.983468533,-0.042713802,1.978512406,0.089750111,1.996167541,0.029342936
